review_title,review_text,rating,date,helpful_votes
"5.0 out of 5 stars
Perfect choice for your remote","The remote such and worked perfectly. Good product and compatible. Value for money.
Read more",5.0 out of 5 stars,Reviewed in India on 18 January 2025,0
"5.0 out of 5 stars
It is compatible with the Mi TV 4A","Design and Build QualityThe remote has a sleek and minimalistic design, which is quite ergonomic and fits comfortably in the hand. The buttons are well-spaced and responsive, making it easy to navigate through different functions without accidentally pressing the wrong button. The build quality feels sturdy and durable, which is great for daily use.PerformanceThis remote pairs seamlessly with the Mi TV 4A, and the setup was straightforward. It’s a significant upgrade that enhances the user experience.FunctionalityThe remote comes with essential buttons for quick access, including volume control.Battery LifeBattery life has been quite satisfactory. Even with regular use, the batteries last for a considerable amount of time before needing replacement, which is a major plus point.ConclusionOverall, the Mi TV Remote is an excellent accessory for the Mi TV 4A. It complements the TV well with its efficient performance and user-friendly features. I would highly recommend it to anyone looking to enhance their Mi TV experience.
Read more",5.0 out of 5 stars,Reviewed in India on 7 January 2025,One person found this helpful
"5.0 out of 5 stars
Perfect choice for your original remote","I recently purchased the ZdalaMit Mi TV Remote as a replacement for my original Xiaomi TV remote, and I couldn’t be happier! This remote has exceeded my expectations in terms of quality, functionality, and ease of use.Right out of the box, I was impressed with the remote's solid build and sleek, minimalist design that feels durable and comfortable to hold. Setting it up was a breeze—just pop in the batteries, and it worked instantly with my Mi TV without any programming needed. The response time is incredibly fast, and the buttons are smooth and very responsive.The remote replicates all the essential functions of the original, so I didn’t have to sacrifice any features. Navigation buttons, volume control, and even shortcut keys to popular streaming apps work seamlessly. I also appreciate that it offers reliable connectivity from a good distance, allowing me to control the TV from anywhere in the room.Overall, the ZdalaMit Mi TV Remote is a fantastic, affordable replacement or backup remote. It has made my TV experience so much easier, and I highly recommend it to anyone looking for a high-quality Mi TV remote.
Read more",5.0 out of 5 stars,Reviewed in India on 7 November 2024,2 people found this helpful
"4.0 out of 5 stars
Works perfectly","The remote such and worked perfectly. Good product and compatible.
Read more",4.0 out of 5 stars,Reviewed in India on 17 December 2024,One person found this helpful
"5.0 out of 5 stars
Awesome product","The functionality of the product is amazing, very handy and connectivity with the television is so nice. The remote buttons are so soft and very easy to use it. Overall it is a highly recommended product
Read more",5.0 out of 5 stars,Reviewed in India on 17 January 2025,0
"5.0 out of 5 stars
Nice product at genuine price","My toddler broke my original mi remote so i ordered this and to be honest I didn’t have much expectations. But it works nicely .This remote is nice within this price range and it doesn’t require any pairing . I like it very much.
Read more",5.0 out of 5 stars,Reviewed in India on 16 January 2025,0
"5.0 out of 5 stars
Good Quality","The remote is straightforward and easy to use, with responsive buttons and a comfortable grip. It does the job well.
Read more",5.0 out of 5 stars,Reviewed in India on 17 January 2025,0
"5.0 out of 5 stars
Satisfied","Remote is good in this price, Should add bluetooth and voice function, satisfied with remote buttons and performance.
Read more",5.0 out of 5 stars,Reviewed in India on 31 January 2025,0
Perfect,"It’s working perfectlyThanks
Read more",5.0 out of 5 stars,Reviewed in Canada on 29 April 2023,0
Great Replacement Remote,"Like many others, I bought this remote because one of the buttons started failing on the original remote.  Specifically the right move on the circular button. To be honest I was skeptical  at first but I read through the review and saw many others giving it a decent review. Works just like the original. If you are having by trouble getting Bixby to work you need to resync the remote by holding the back button and the play/pause button for about three seconds. Someone mentioned that in a review and it worked for me.  So props to that reviewer!! Feels like the original and looks like the original. Only difference is the Samsung logo is not on the remote. If you want a replacement remote for your Samsung tv this is the way to go for sure!!! Happy channel surfing!!! 🏄‍♂️ 📺
Read more",5.0 out of 5 stars,Reviewed in the United States on 7 August 2022,0
Works for Samsung TV.,"Works like original. Paired easily with my Samsung TV . Looks exactly similar like my old Samsung original remote.
Read more",5.0 out of 5 stars,Reviewed in Singapore on 9 September 2023,0
My 80yr old mother loves it... enough said!,"My 80yr old mother has a Samsung TV and eventually wore out the remote that came with it.  She came to really like the old remote.  I purchased another replacement remote for her TV and although it worked, she was not happy with it.  This remote she said was very easy to control for her.  On behalf of a grateful son, I can't recommend this enough!  BTW, I did the setup on this and the manufactures instructions on how to PAIR it were right on and it worked great!
Read more",5.0 out of 5 stars,Reviewed in the United States on 4 July 2024,0
So far it is just as good as the original,"I lost my original Samsung remote and bought this as a replacement. The price was great. The volume buttons look different. The rest looks the same. I did read some reviews about voice not working. My original did not have voice, and I am not looking for voice. The device ergonomics mimic the original (feel and operation).
Read more",5.0 out of 5 stars,Reviewed in the United States on 25 August 2024,0
